City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
auburn,alabama,https://auburn.craigslist.org,https://auburn.craigslist.org/search/jjj?query=Orthodontist,https://auburn.craigslist.org/search/jjj?query=Oral+Surgeon,https://auburn.craigslist.org/search/jjj?query=Periodontist,https://auburn.craigslist.org/search/jjj?query=Endodontist,https://auburn.craigslist.org/search/jjj?query=Pedodontist,https://auburn.craigslist.org/search/jjj?query=Dental+Specialist,https://auburn.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://auburn.craigslist.org/search/jjj?query=Prosthodontist
birmingham,alabama,https://bham.craigslist.org,https://bham.craigslist.org/search/jjj?query=Orthodontist,https://bham.craigslist.org/search/jjj?query=Oral+Surgeon,https://bham.craigslist.org/search/jjj?query=Periodontist,https://bham.craigslist.org/search/jjj?query=Endodontist,https://bham.craigslist.org/search/jjj?query=Pedodontist,https://bham.craigslist.org/search/jjj?query=Dental+Specialist,https://bham.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://bham.craigslist.org/search/jjj?query=Prosthodontist
"columbus, GA",alabama,https://columbusga.craigslist.org,https://columbusga.craigslist.org/search/jjj?query=Orthodontist,https://columbusga.craigslist.org/search/jjj?query=Oral+Surgeon,https://columbusga.craigslist.org/search/jjj?query=Periodontist,https://columbusga.craigslist.org/search/jjj?query=Endodontist,https://columbusga.craigslist.org/search/jjj?query=Pedodontist,https://columbusga.craigslist.org/search/jjj?query=Dental+Specialist,https://columbusga.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://columbusga.craigslist.org/search/jjj?query=Prosthodontist
dothan,alabama,https://dothan.craigslist.org,https://dothan.craigslist.org/search/jjj?query=Orthodontist,https://dothan.craigslist.org/search/jjj?query=Oral+Surgeon,https://dothan.craigslist.org/search/jjj?query=Periodontist,https://dothan.craigslist.org/search/jjj?query=Endodontist,https://dothan.craigslist.org/search/jjj?query=Pedodontist,https://dothan.craigslist.org/search/jjj?query=Dental+Specialist,https://dothan.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://dothan.craigslist.org/search/jjj?query=Prosthodontist
florence / muscle shoals,alabama,https://shoals.craigslist.org,https://shoals.craigslist.org/search/jjj?query=Orthodontist,https://shoals.craigslist.org/search/jjj?query=Oral+Surgeon,https://shoals.craigslist.org/search/jjj?query=Periodontist,https://shoals.craigslist.org/search/jjj?query=Endodontist,https://shoals.craigslist.org/search/jjj?query=Pedodontist,https://shoals.craigslist.org/search/jjj?query=Dental+Specialist,https://shoals.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://shoals.craigslist.org/search/jjj?query=Prosthodontist
gadsden-anniston,alabama,https://gadsden.craigslist.org,https://gadsden.craigslist.org/search/jjj?query=Orthodontist,https://gadsden.craigslist.org/search/jjj?query=Oral+Surgeon,https://gadsden.craigslist.org/search/jjj?query=Periodontist,https://gadsden.craigslist.org/search/jjj?query=Endodontist,https://gadsden.craigslist.org/search/jjj?query=Pedodontist,https://gadsden.craigslist.org/search/jjj?query=Dental+Specialist,https://gadsden.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://gadsden.craigslist.org/search/jjj?query=Prosthodontist
huntsville / decatur,alabama,https://huntsville.craigslist.org,https://huntsville.craigslist.org/search/jjj?query=Orthodontist,https://huntsville.craigslist.org/search/jjj?query=Oral+Surgeon,https://huntsville.craigslist.org/search/jjj?query=Periodontist,https://huntsville.craigslist.org/search/jjj?query=Endodontist,https://huntsville.craigslist.org/search/jjj?query=Pedodontist,https://huntsville.craigslist.org/search/jjj?query=Dental+Specialist,https://huntsville.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://huntsville.craigslist.org/search/jjj?query=Prosthodontist
mobile,alabama,https://mobile.craigslist.org,https://mobile.craigslist.org/search/jjj?query=Orthodontist,https://mobile.craigslist.org/search/jjj?query=Oral+Surgeon,https://mobile.craigslist.org/search/jjj?query=Periodontist,https://mobile.craigslist.org/search/jjj?query=Endodontist,https://mobile.craigslist.org/search/jjj?query=Pedodontist,https://mobile.craigslist.org/search/jjj?query=Dental+Specialist,https://mobile.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://mobile.craigslist.org/search/jjj?query=Prosthodontist
montgomery,alabama,https://montgomery.craigslist.org,https://montgomery.craigslist.org/search/jjj?query=Orthodontist,https://montgomery.craigslist.org/search/jjj?query=Oral+Surgeon,https://montgomery.craigslist.org/search/jjj?query=Periodontist,https://montgomery.craigslist.org/search/jjj?query=Endodontist,https://montgomery.craigslist.org/search/jjj?query=Pedodontist,https://montgomery.craigslist.org/search/jjj?query=Dental+Specialist,https://montgomery.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://montgomery.craigslist.org/search/jjj?query=Prosthodontist
tuscaloosa,alabama,https://tuscaloosa.craigslist.org,https://tuscaloosa.craigslist.org/search/jjj?query=Orthodontist,https://tuscaloosa.craigslist.org/search/jjj?query=Oral+Surgeon,https://tuscaloosa.craigslist.org/search/jjj?query=Periodontist,https://tuscaloosa.craigslist.org/search/jjj?query=Endodontist,https://tuscaloosa.craigslist.org/search/jjj?query=Pedodontist,https://tuscaloosa.craigslist.org/search/jjj?query=Dental+Specialist,https://tuscaloosa.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://tuscaloosa.craigslist.org/search/jjj?query=Prosthodontist
