City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
albany,georgia,https://albanyga.craigslist.org,https://albanyga.craigslist.org/search/jjj?query=Orthodontist,https://albanyga.craigslist.org/search/jjj?query=Oral+Surgeon,https://albanyga.craigslist.org/search/jjj?query=Periodontist,https://albanyga.craigslist.org/search/jjj?query=Endodontist,https://albanyga.craigslist.org/search/jjj?query=Pedodontist,https://albanyga.craigslist.org/search/jjj?query=Dental+Specialist,https://albanyga.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://albanyga.craigslist.org/search/jjj?query=Prosthodontist
athens,georgia,https://athensga.craigslist.org,https://athensga.craigslist.org/search/jjj?query=Orthodontist,https://athensga.craigslist.org/search/jjj?query=Oral+Surgeon,https://athensga.craigslist.org/search/jjj?query=Periodontist,https://athensga.craigslist.org/search/jjj?query=Endodontist,https://athensga.craigslist.org/search/jjj?query=Pedodontist,https://athensga.craigslist.org/search/jjj?query=Dental+Specialist,https://athensga.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://athensga.craigslist.org/search/jjj?query=Prosthodontist
atlanta,georgia,https://atlanta.craigslist.org,https://atlanta.craigslist.org/search/jjj?query=Orthodontist,https://atlanta.craigslist.org/search/jjj?query=Oral+Surgeon,https://atlanta.craigslist.org/search/jjj?query=Periodontist,https://atlanta.craigslist.org/search/jjj?query=Endodontist,https://atlanta.craigslist.org/search/jjj?query=Pedodontist,https://atlanta.craigslist.org/search/jjj?query=Dental+Specialist,https://atlanta.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://atlanta.craigslist.org/search/jjj?query=Prosthodontist
augusta,georgia,https://augusta.craigslist.org,https://augusta.craigslist.org/search/jjj?query=Orthodontist,https://augusta.craigslist.org/search/jjj?query=Oral+Surgeon,https://augusta.craigslist.org/search/jjj?query=Periodontist,https://augusta.craigslist.org/search/jjj?query=Endodontist,https://augusta.craigslist.org/search/jjj?query=Pedodontist,https://augusta.craigslist.org/search/jjj?query=Dental+Specialist,https://augusta.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://augusta.craigslist.org/search/jjj?query=Prosthodontist
brunswick,georgia,https://brunswick.craigslist.org,https://brunswick.craigslist.org/search/jjj?query=Orthodontist,https://brunswick.craigslist.org/search/jjj?query=Oral+Surgeon,https://brunswick.craigslist.org/search/jjj?query=Periodontist,https://brunswick.craigslist.org/search/jjj?query=Endodontist,https://brunswick.craigslist.org/search/jjj?query=Pedodontist,https://brunswick.craigslist.org/search/jjj?query=Dental+Specialist,https://brunswick.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://brunswick.craigslist.org/search/jjj?query=Prosthodontist
columbus,georgia,https://columbusga.craigslist.org,https://columbusga.craigslist.org/search/jjj?query=Orthodontist,https://columbusga.craigslist.org/search/jjj?query=Oral+Surgeon,https://columbusga.craigslist.org/search/jjj?query=Periodontist,https://columbusga.craigslist.org/search/jjj?query=Endodontist,https://columbusga.craigslist.org/search/jjj?query=Pedodontist,https://columbusga.craigslist.org/search/jjj?query=Dental+Specialist,https://columbusga.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://columbusga.craigslist.org/search/jjj?query=Prosthodontist
macon / warner robins,georgia,https://macon.craigslist.org,https://macon.craigslist.org/search/jjj?query=Orthodontist,https://macon.craigslist.org/search/jjj?query=Oral+Surgeon,https://macon.craigslist.org/search/jjj?query=Periodontist,https://macon.craigslist.org/search/jjj?query=Endodontist,https://macon.craigslist.org/search/jjj?query=Pedodontist,https://macon.craigslist.org/search/jjj?query=Dental+Specialist,https://macon.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://macon.craigslist.org/search/jjj?query=Prosthodontist
northwest GA,georgia,https://nwga.craigslist.org,https://nwga.craigslist.org/search/jjj?query=Orthodontist,https://nwga.craigslist.org/search/jjj?query=Oral+Surgeon,https://nwga.craigslist.org/search/jjj?query=Periodontist,https://nwga.craigslist.org/search/jjj?query=Endodontist,https://nwga.craigslist.org/search/jjj?query=Pedodontist,https://nwga.craigslist.org/search/jjj?query=Dental+Specialist,https://nwga.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://nwga.craigslist.org/search/jjj?query=Prosthodontist
savannah / hinesville,georgia,https://savannah.craigslist.org,https://savannah.craigslist.org/search/jjj?query=Orthodontist,https://savannah.craigslist.org/search/jjj?query=Oral+Surgeon,https://savannah.craigslist.org/search/jjj?query=Periodontist,https://savannah.craigslist.org/search/jjj?query=Endodontist,https://savannah.craigslist.org/search/jjj?query=Pedodontist,https://savannah.craigslist.org/search/jjj?query=Dental+Specialist,https://savannah.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://savannah.craigslist.org/search/jjj?query=Prosthodontist
statesboro,georgia,https://statesboro.craigslist.org,https://statesboro.craigslist.org/search/jjj?query=Orthodontist,https://statesboro.craigslist.org/search/jjj?query=Oral+Surgeon,https://statesboro.craigslist.org/search/jjj?query=Periodontist,https://statesboro.craigslist.org/search/jjj?query=Endodontist,https://statesboro.craigslist.org/search/jjj?query=Pedodontist,https://statesboro.craigslist.org/search/jjj?query=Dental+Specialist,https://statesboro.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://statesboro.craigslist.org/search/jjj?query=Prosthodontist
