City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
ann arbor,michigan,https://annarbor.craigslist.org,https://annarbor.craigslist.org/search/jjj?query=Orthodontist,https://annarbor.craigslist.org/search/jjj?query=Oral+Surgeon,https://annarbor.craigslist.org/search/jjj?query=Periodontist,https://annarbor.craigslist.org/search/jjj?query=Endodontist,https://annarbor.craigslist.org/search/jjj?query=Pedodontist,https://annarbor.craigslist.org/search/jjj?query=Dental+Specialist,https://annarbor.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://annarbor.craigslist.org/search/jjj?query=Prosthodontist
battle creek,michigan,https://battlecreek.craigslist.org,https://battlecreek.craigslist.org/search/jjj?query=Orthodontist,https://battlecreek.craigslist.org/search/jjj?query=Oral+Surgeon,https://battlecreek.craigslist.org/search/jjj?query=Periodontist,https://battlecreek.craigslist.org/search/jjj?query=Endodontist,https://battlecreek.craigslist.org/search/jjj?query=Pedodontist,https://battlecreek.craigslist.org/search/jjj?query=Dental+Specialist,https://battlecreek.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://battlecreek.craigslist.org/search/jjj?query=Prosthodontist
central michigan,michigan,https://centralmich.craigslist.org,https://centralmich.craigslist.org/search/jjj?query=Orthodontist,https://centralmich.craigslist.org/search/jjj?query=Oral+Surgeon,https://centralmich.craigslist.org/search/jjj?query=Periodontist,https://centralmich.craigslist.org/search/jjj?query=Endodontist,https://centralmich.craigslist.org/search/jjj?query=Pedodontist,https://centralmich.craigslist.org/search/jjj?query=Dental+Specialist,https://centralmich.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://centralmich.craigslist.org/search/jjj?query=Prosthodontist
detroit metro,michigan,https://detroit.craigslist.org,https://detroit.craigslist.org/search/jjj?query=Orthodontist,https://detroit.craigslist.org/search/jjj?query=Oral+Surgeon,https://detroit.craigslist.org/search/jjj?query=Periodontist,https://detroit.craigslist.org/search/jjj?query=Endodontist,https://detroit.craigslist.org/search/jjj?query=Pedodontist,https://detroit.craigslist.org/search/jjj?query=Dental+Specialist,https://detroit.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://detroit.craigslist.org/search/jjj?query=Prosthodontist
flint,michigan,https://flint.craigslist.org,https://flint.craigslist.org/search/jjj?query=Orthodontist,https://flint.craigslist.org/search/jjj?query=Oral+Surgeon,https://flint.craigslist.org/search/jjj?query=Periodontist,https://flint.craigslist.org/search/jjj?query=Endodontist,https://flint.craigslist.org/search/jjj?query=Pedodontist,https://flint.craigslist.org/search/jjj?query=Dental+Specialist,https://flint.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://flint.craigslist.org/search/jjj?query=Prosthodontist
grand rapids,michigan,https://grandrapids.craigslist.org,https://grandrapids.craigslist.org/search/jjj?query=Orthodontist,https://grandrapids.craigslist.org/search/jjj?query=Oral+Surgeon,https://grandrapids.craigslist.org/search/jjj?query=Periodontist,https://grandrapids.craigslist.org/search/jjj?query=Endodontist,https://grandrapids.craigslist.org/search/jjj?query=Pedodontist,https://grandrapids.craigslist.org/search/jjj?query=Dental+Specialist,https://grandrapids.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://grandrapids.craigslist.org/search/jjj?query=Prosthodontist
holland,michigan,https://holland.craigslist.org,https://holland.craigslist.org/search/jjj?query=Orthodontist,https://holland.craigslist.org/search/jjj?query=Oral+Surgeon,https://holland.craigslist.org/search/jjj?query=Periodontist,https://holland.craigslist.org/search/jjj?query=Endodontist,https://holland.craigslist.org/search/jjj?query=Pedodontist,https://holland.craigslist.org/search/jjj?query=Dental+Specialist,https://holland.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://holland.craigslist.org/search/jjj?query=Prosthodontist
jackson,michigan,https://jxn.craigslist.org,https://jxn.craigslist.org/search/jjj?query=Orthodontist,https://jxn.craigslist.org/search/jjj?query=Oral+Surgeon,https://jxn.craigslist.org/search/jjj?query=Periodontist,https://jxn.craigslist.org/search/jjj?query=Endodontist,https://jxn.craigslist.org/search/jjj?query=Pedodontist,https://jxn.craigslist.org/search/jjj?query=Dental+Specialist,https://jxn.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://jxn.craigslist.org/search/jjj?query=Prosthodontist
kalamazoo,michigan,https://kalamazoo.craigslist.org,https://kalamazoo.craigslist.org/search/jjj?query=Orthodontist,https://kalamazoo.craigslist.org/search/jjj?query=Oral+Surgeon,https://kalamazoo.craigslist.org/search/jjj?query=Periodontist,https://kalamazoo.craigslist.org/search/jjj?query=Endodontist,https://kalamazoo.craigslist.org/search/jjj?query=Pedodontist,https://kalamazoo.craigslist.org/search/jjj?query=Dental+Specialist,https://kalamazoo.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://kalamazoo.craigslist.org/search/jjj?query=Prosthodontist
lansing,michigan,https://lansing.craigslist.org,https://lansing.craigslist.org/search/jjj?query=Orthodontist,https://lansing.craigslist.org/search/jjj?query=Oral+Surgeon,https://lansing.craigslist.org/search/jjj?query=Periodontist,https://lansing.craigslist.org/search/jjj?query=Endodontist,https://lansing.craigslist.org/search/jjj?query=Pedodontist,https://lansing.craigslist.org/search/jjj?query=Dental+Specialist,https://lansing.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://lansing.craigslist.org/search/jjj?query=Prosthodontist
