City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
albany,new york,https://albany.craigslist.org,https://albany.craigslist.org/search/jjj?query=Orthodontist,https://albany.craigslist.org/search/jjj?query=Oral+Surgeon,https://albany.craigslist.org/search/jjj?query=Periodontist,https://albany.craigslist.org/search/jjj?query=Endodontist,https://albany.craigslist.org/search/jjj?query=Pedodontist,https://albany.craigslist.org/search/jjj?query=Dental+Specialist,https://albany.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://albany.craigslist.org/search/jjj?query=Prosthodontist
binghamton,new york,https://binghamton.craigslist.org,https://binghamton.craigslist.org/search/jjj?query=Orthodontist,https://binghamton.craigslist.org/search/jjj?query=Oral+Surgeon,https://binghamton.craigslist.org/search/jjj?query=Periodontist,https://binghamton.craigslist.org/search/jjj?query=Endodontist,https://binghamton.craigslist.org/search/jjj?query=Pedodontist,https://binghamton.craigslist.org/search/jjj?query=Dental+Specialist,https://binghamton.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://binghamton.craigslist.org/search/jjj?query=Prosthodontist
buffalo,new york,https://buffalo.craigslist.org,https://buffalo.craigslist.org/search/jjj?query=Orthodontist,https://buffalo.craigslist.org/search/jjj?query=Oral+Surgeon,https://buffalo.craigslist.org/search/jjj?query=Periodontist,https://buffalo.craigslist.org/search/jjj?query=Endodontist,https://buffalo.craigslist.org/search/jjj?query=Pedodontist,https://buffalo.craigslist.org/search/jjj?query=Dental+Specialist,https://buffalo.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://buffalo.craigslist.org/search/jjj?query=Prosthodontist
catskills,new york,https://catskills.craigslist.org,https://catskills.craigslist.org/search/jjj?query=Orthodontist,https://catskills.craigslist.org/search/jjj?query=Oral+Surgeon,https://catskills.craigslist.org/search/jjj?query=Periodontist,https://catskills.craigslist.org/search/jjj?query=Endodontist,https://catskills.craigslist.org/search/jjj?query=Pedodontist,https://catskills.craigslist.org/search/jjj?query=Dental+Specialist,https://catskills.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://catskills.craigslist.org/search/jjj?query=Prosthodontist
chautauqua,new york,https://chautauqua.craigslist.org,https://chautauqua.craigslist.org/search/jjj?query=Orthodontist,https://chautauqua.craigslist.org/search/jjj?query=Oral+Surgeon,https://chautauqua.craigslist.org/search/jjj?query=Periodontist,https://chautauqua.craigslist.org/search/jjj?query=Endodontist,https://chautauqua.craigslist.org/search/jjj?query=Pedodontist,https://chautauqua.craigslist.org/search/jjj?query=Dental+Specialist,https://chautauqua.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://chautauqua.craigslist.org/search/jjj?query=Prosthodontist
elmira-corning,new york,https://elmira.craigslist.org,https://elmira.craigslist.org/search/jjj?query=Orthodontist,https://elmira.craigslist.org/search/jjj?query=Oral+Surgeon,https://elmira.craigslist.org/search/jjj?query=Periodontist,https://elmira.craigslist.org/search/jjj?query=Endodontist,https://elmira.craigslist.org/search/jjj?query=Pedodontist,https://elmira.craigslist.org/search/jjj?query=Dental+Specialist,https://elmira.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://elmira.craigslist.org/search/jjj?query=Prosthodontist
finger lakes,new york,https://fingerlakes.craigslist.org,https://fingerlakes.craigslist.org/search/jjj?query=Orthodontist,https://fingerlakes.craigslist.org/search/jjj?query=Oral+Surgeon,https://fingerlakes.craigslist.org/search/jjj?query=Periodontist,https://fingerlakes.craigslist.org/search/jjj?query=Endodontist,https://fingerlakes.craigslist.org/search/jjj?query=Pedodontist,https://fingerlakes.craigslist.org/search/jjj?query=Dental+Specialist,https://fingerlakes.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://fingerlakes.craigslist.org/search/jjj?query=Prosthodontist
glens falls,new york,https://glensfalls.craigslist.org,https://glensfalls.craigslist.org/search/jjj?query=Orthodontist,https://glensfalls.craigslist.org/search/jjj?query=Oral+Surgeon,https://glensfalls.craigslist.org/search/jjj?query=Periodontist,https://glensfalls.craigslist.org/search/jjj?query=Endodontist,https://glensfalls.craigslist.org/search/jjj?query=Pedodontist,https://glensfalls.craigslist.org/search/jjj?query=Dental+Specialist,https://glensfalls.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://glensfalls.craigslist.org/search/jjj?query=Prosthodontist
hudson valley,new york,https://hudsonvalley.craigslist.org,https://hudsonvalley.craigslist.org/search/jjj?query=Orthodontist,https://hudsonvalley.craigslist.org/search/jjj?query=Oral+Surgeon,https://hudsonvalley.craigslist.org/search/jjj?query=Periodontist,https://hudsonvalley.craigslist.org/search/jjj?query=Endodontist,https://hudsonvalley.craigslist.org/search/jjj?query=Pedodontist,https://hudsonvalley.craigslist.org/search/jjj?query=Dental+Specialist,https://hudsonvalley.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://hudsonvalley.craigslist.org/search/jjj?query=Prosthodontist
ithaca,new york,https://ithaca.craigslist.org,https://ithaca.craigslist.org/search/jjj?query=Orthodontist,https://ithaca.craigslist.org/search/jjj?query=Oral+Surgeon,https://ithaca.craigslist.org/search/jjj?query=Periodontist,https://ithaca.craigslist.org/search/jjj?query=Endodontist,https://ithaca.craigslist.org/search/jjj?query=Pedodontist,https://ithaca.craigslist.org/search/jjj?query=Dental+Specialist,https://ithaca.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://ithaca.craigslist.org/search/jjj?query=Prosthodontist
