City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
bend,oregon,https://bend.craigslist.org,https://bend.craigslist.org/search/jjj?query=Orthodontist,https://bend.craigslist.org/search/jjj?query=Oral+Surgeon,https://bend.craigslist.org/search/jjj?query=Periodontist,https://bend.craigslist.org/search/jjj?query=Endodontist,https://bend.craigslist.org/search/jjj?query=Pedodontist,https://bend.craigslist.org/search/jjj?query=Dental+Specialist,https://bend.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://bend.craigslist.org/search/jjj?query=Prosthodontist
corvallis/albany,oregon,https://corvallis.craigslist.org,https://corvallis.craigslist.org/search/jjj?query=Orthodontist,https://corvallis.craigslist.org/search/jjj?query=Oral+Surgeon,https://corvallis.craigslist.org/search/jjj?query=Periodontist,https://corvallis.craigslist.org/search/jjj?query=Endodontist,https://corvallis.craigslist.org/search/jjj?query=Pedodontist,https://corvallis.craigslist.org/search/jjj?query=Dental+Specialist,https://corvallis.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://corvallis.craigslist.org/search/jjj?query=Prosthodontist
east oregon,oregon,https://eastoregon.craigslist.org,https://eastoregon.craigslist.org/search/jjj?query=Orthodontist,https://eastoregon.craigslist.org/search/jjj?query=Oral+Surgeon,https://eastoregon.craigslist.org/search/jjj?query=Periodontist,https://eastoregon.craigslist.org/search/jjj?query=Endodontist,https://eastoregon.craigslist.org/search/jjj?query=Pedodontist,https://eastoregon.craigslist.org/search/jjj?query=Dental+Specialist,https://eastoregon.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://eastoregon.craigslist.org/search/jjj?query=Prosthodontist
eugene,oregon,https://eugene.craigslist.org,https://eugene.craigslist.org/search/jjj?query=Orthodontist,https://eugene.craigslist.org/search/jjj?query=Oral+Surgeon,https://eugene.craigslist.org/search/jjj?query=Periodontist,https://eugene.craigslist.org/search/jjj?query=Endodontist,https://eugene.craigslist.org/search/jjj?query=Pedodontist,https://eugene.craigslist.org/search/jjj?query=Dental+Specialist,https://eugene.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://eugene.craigslist.org/search/jjj?query=Prosthodontist
klamath falls,oregon,https://klamath.craigslist.org,https://klamath.craigslist.org/search/jjj?query=Orthodontist,https://klamath.craigslist.org/search/jjj?query=Oral+Surgeon,https://klamath.craigslist.org/search/jjj?query=Periodontist,https://klamath.craigslist.org/search/jjj?query=Endodontist,https://klamath.craigslist.org/search/jjj?query=Pedodontist,https://klamath.craigslist.org/search/jjj?query=Dental+Specialist,https://klamath.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://klamath.craigslist.org/search/jjj?query=Prosthodontist
medford-ashland,oregon,https://medford.craigslist.org,https://medford.craigslist.org/search/jjj?query=Orthodontist,https://medford.craigslist.org/search/jjj?query=Oral+Surgeon,https://medford.craigslist.org/search/jjj?query=Periodontist,https://medford.craigslist.org/search/jjj?query=Endodontist,https://medford.craigslist.org/search/jjj?query=Pedodontist,https://medford.craigslist.org/search/jjj?query=Dental+Specialist,https://medford.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://medford.craigslist.org/search/jjj?query=Prosthodontist
oregon coast,oregon,https://oregoncoast.craigslist.org,https://oregoncoast.craigslist.org/search/jjj?query=Orthodontist,https://oregoncoast.craigslist.org/search/jjj?query=Oral+Surgeon,https://oregoncoast.craigslist.org/search/jjj?query=Periodontist,https://oregoncoast.craigslist.org/search/jjj?query=Endodontist,https://oregoncoast.craigslist.org/search/jjj?query=Pedodontist,https://oregoncoast.craigslist.org/search/jjj?query=Dental+Specialist,https://oregoncoast.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://oregoncoast.craigslist.org/search/jjj?query=Prosthodontist
portland,oregon,https://portland.craigslist.org,https://portland.craigslist.org/search/jjj?query=Orthodontist,https://portland.craigslist.org/search/jjj?query=Oral+Surgeon,https://portland.craigslist.org/search/jjj?query=Periodontist,https://portland.craigslist.org/search/jjj?query=Endodontist,https://portland.craigslist.org/search/jjj?query=Pedodontist,https://portland.craigslist.org/search/jjj?query=Dental+Specialist,https://portland.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://portland.craigslist.org/search/jjj?query=Prosthodontist
roseburg,oregon,https://roseburg.craigslist.org,https://roseburg.craigslist.org/search/jjj?query=Orthodontist,https://roseburg.craigslist.org/search/jjj?query=Oral+Surgeon,https://roseburg.craigslist.org/search/jjj?query=Periodontist,https://roseburg.craigslist.org/search/jjj?query=Endodontist,https://roseburg.craigslist.org/search/jjj?query=Pedodontist,https://roseburg.craigslist.org/search/jjj?query=Dental+Specialist,https://roseburg.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://roseburg.craigslist.org/search/jjj?query=Prosthodontist
salem,oregon,https://salem.craigslist.org,https://salem.craigslist.org/search/jjj?query=Orthodontist,https://salem.craigslist.org/search/jjj?query=Oral+Surgeon,https://salem.craigslist.org/search/jjj?query=Periodontist,https://salem.craigslist.org/search/jjj?query=Endodontist,https://salem.craigslist.org/search/jjj?query=Pedodontist,https://salem.craigslist.org/search/jjj?query=Dental+Specialist,https://salem.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://salem.craigslist.org/search/jjj?query=Prosthodontist
