City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
abilene,texas,https://abilene.craigslist.org,https://abilene.craigslist.org/search/jjj?query=Orthodontist,https://abilene.craigslist.org/search/jjj?query=Oral+Surgeon,https://abilene.craigslist.org/search/jjj?query=Periodontist,https://abilene.craigslist.org/search/jjj?query=Endodontist,https://abilene.craigslist.org/search/jjj?query=Pedodontist,https://abilene.craigslist.org/search/jjj?query=Dental+Specialist,https://abilene.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://abilene.craigslist.org/search/jjj?query=Prosthodontist
amarillo,texas,https://amarillo.craigslist.org,https://amarillo.craigslist.org/search/jjj?query=Orthodontist,https://amarillo.craigslist.org/search/jjj?query=Oral+Surgeon,https://amarillo.craigslist.org/search/jjj?query=Periodontist,https://amarillo.craigslist.org/search/jjj?query=Endodontist,https://amarillo.craigslist.org/search/jjj?query=Pedodontist,https://amarillo.craigslist.org/search/jjj?query=Dental+Specialist,https://amarillo.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://amarillo.craigslist.org/search/jjj?query=Prosthodontist
austin,texas,https://austin.craigslist.org,https://austin.craigslist.org/search/jjj?query=Orthodontist,https://austin.craigslist.org/search/jjj?query=Oral+Surgeon,https://austin.craigslist.org/search/jjj?query=Periodontist,https://austin.craigslist.org/search/jjj?query=Endodontist,https://austin.craigslist.org/search/jjj?query=Pedodontist,https://austin.craigslist.org/search/jjj?query=Dental+Specialist,https://austin.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://austin.craigslist.org/search/jjj?query=Prosthodontist
beaumont / port arthur,texas,https://beaumont.craigslist.org,https://beaumont.craigslist.org/search/jjj?query=Orthodontist,https://beaumont.craigslist.org/search/jjj?query=Oral+Surgeon,https://beaumont.craigslist.org/search/jjj?query=Periodontist,https://beaumont.craigslist.org/search/jjj?query=Endodontist,https://beaumont.craigslist.org/search/jjj?query=Pedodontist,https://beaumont.craigslist.org/search/jjj?query=Dental+Specialist,https://beaumont.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://beaumont.craigslist.org/search/jjj?query=Prosthodontist
brownsville,texas,https://brownsville.craigslist.org,https://brownsville.craigslist.org/search/jjj?query=Orthodontist,https://brownsville.craigslist.org/search/jjj?query=Oral+Surgeon,https://brownsville.craigslist.org/search/jjj?query=Periodontist,https://brownsville.craigslist.org/search/jjj?query=Endodontist,https://brownsville.craigslist.org/search/jjj?query=Pedodontist,https://brownsville.craigslist.org/search/jjj?query=Dental+Specialist,https://brownsville.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://brownsville.craigslist.org/search/jjj?query=Prosthodontist
college station,texas,https://collegestation.craigslist.org,https://collegestation.craigslist.org/search/jjj?query=Orthodontist,https://collegestation.craigslist.org/search/jjj?query=Oral+Surgeon,https://collegestation.craigslist.org/search/jjj?query=Periodontist,https://collegestation.craigslist.org/search/jjj?query=Endodontist,https://collegestation.craigslist.org/search/jjj?query=Pedodontist,https://collegestation.craigslist.org/search/jjj?query=Dental+Specialist,https://collegestation.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://collegestation.craigslist.org/search/jjj?query=Prosthodontist
corpus christi,texas,https://corpuschristi.craigslist.org,https://corpuschristi.craigslist.org/search/jjj?query=Orthodontist,https://corpuschristi.craigslist.org/search/jjj?query=Oral+Surgeon,https://corpuschristi.craigslist.org/search/jjj?query=Periodontist,https://corpuschristi.craigslist.org/search/jjj?query=Endodontist,https://corpuschristi.craigslist.org/search/jjj?query=Pedodontist,https://corpuschristi.craigslist.org/search/jjj?query=Dental+Specialist,https://corpuschristi.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://corpuschristi.craigslist.org/search/jjj?query=Prosthodontist
dallas / fort worth,texas,https://dallas.craigslist.org,https://dallas.craigslist.org/search/jjj?query=Orthodontist,https://dallas.craigslist.org/search/jjj?query=Oral+Surgeon,https://dallas.craigslist.org/search/jjj?query=Periodontist,https://dallas.craigslist.org/search/jjj?query=Endodontist,https://dallas.craigslist.org/search/jjj?query=Pedodontist,https://dallas.craigslist.org/search/jjj?query=Dental+Specialist,https://dallas.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://dallas.craigslist.org/search/jjj?query=Prosthodontist
deep east texas,texas,https://nacogdoches.craigslist.org,https://nacogdoches.craigslist.org/search/jjj?query=Orthodontist,https://nacogdoches.craigslist.org/search/jjj?query=Oral+Surgeon,https://nacogdoches.craigslist.org/search/jjj?query=Periodontist,https://nacogdoches.craigslist.org/search/jjj?query=Endodontist,https://nacogdoches.craigslist.org/search/jjj?query=Pedodontist,https://nacogdoches.craigslist.org/search/jjj?query=Dental+Specialist,https://nacogdoches.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://nacogdoches.craigslist.org/search/jjj?query=Prosthodontist
del rio / eagle pass,texas,https://delrio.craigslist.org,https://delrio.craigslist.org/search/jjj?query=Orthodontist,https://delrio.craigslist.org/search/jjj?query=Oral+Surgeon,https://delrio.craigslist.org/search/jjj?query=Periodontist,https://delrio.craigslist.org/search/jjj?query=Endodontist,https://delrio.craigslist.org/search/jjj?query=Pedodontist,https://delrio.craigslist.org/search/jjj?query=Dental+Specialist,https://delrio.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://delrio.craigslist.org/search/jjj?query=Prosthodontist
el paso,texas,https://elpaso.craigslist.org,https://elpaso.craigslist.org/search/jjj?query=Orthodontist,https://elpaso.craigslist.org/search/jjj?query=Oral+Surgeon,https://elpaso.craigslist.org/search/jjj?query=Periodontist,https://elpaso.craigslist.org/search/jjj?query=Endodontist,https://elpaso.craigslist.org/search/jjj?query=Pedodontist,https://elpaso.craigslist.org/search/jjj?query=Dental+Specialist,https://elpaso.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://elpaso.craigslist.org/search/jjj?query=Prosthodontist
