City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
bellingham,washington,https://bellingham.craigslist.org,https://bellingham.craigslist.org/search/jjj?query=Orthodontist,https://bellingham.craigslist.org/search/jjj?query=Oral+Surgeon,https://bellingham.craigslist.org/search/jjj?query=Periodontist,https://bellingham.craigslist.org/search/jjj?query=Endodontist,https://bellingham.craigslist.org/search/jjj?query=Pedodontist,https://bellingham.craigslist.org/search/jjj?query=Dental+Specialist,https://bellingham.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://bellingham.craigslist.org/search/jjj?query=Prosthodontist
kennewick-pasco-richland,washington,https://kpr.craigslist.org,https://kpr.craigslist.org/search/jjj?query=Orthodontist,https://kpr.craigslist.org/search/jjj?query=Oral+Surgeon,https://kpr.craigslist.org/search/jjj?query=Periodontist,https://kpr.craigslist.org/search/jjj?query=Endodontist,https://kpr.craigslist.org/search/jjj?query=Pedodontist,https://kpr.craigslist.org/search/jjj?query=Dental+Specialist,https://kpr.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://kpr.craigslist.org/search/jjj?query=Prosthodontist
lewiston / clarkston,washington,https://lewiston.craigslist.org,https://lewiston.craigslist.org/search/jjj?query=Orthodontist,https://lewiston.craigslist.org/search/jjj?query=Oral+Surgeon,https://lewiston.craigslist.org/search/jjj?query=Periodontist,https://lewiston.craigslist.org/search/jjj?query=Endodontist,https://lewiston.craigslist.org/search/jjj?query=Pedodontist,https://lewiston.craigslist.org/search/jjj?query=Dental+Specialist,https://lewiston.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://lewiston.craigslist.org/search/jjj?query=Prosthodontist
moses lake,washington,https://moseslake.craigslist.org,https://moseslake.craigslist.org/search/jjj?query=Orthodontist,https://moseslake.craigslist.org/search/jjj?query=Oral+Surgeon,https://moseslake.craigslist.org/search/jjj?query=Periodontist,https://moseslake.craigslist.org/search/jjj?query=Endodontist,https://moseslake.craigslist.org/search/jjj?query=Pedodontist,https://moseslake.craigslist.org/search/jjj?query=Dental+Specialist,https://moseslake.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://moseslake.craigslist.org/search/jjj?query=Prosthodontist
olympic peninsula,washington,https://olympic.craigslist.org,https://olympic.craigslist.org/search/jjj?query=Orthodontist,https://olympic.craigslist.org/search/jjj?query=Oral+Surgeon,https://olympic.craigslist.org/search/jjj?query=Periodontist,https://olympic.craigslist.org/search/jjj?query=Endodontist,https://olympic.craigslist.org/search/jjj?query=Pedodontist,https://olympic.craigslist.org/search/jjj?query=Dental+Specialist,https://olympic.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://olympic.craigslist.org/search/jjj?query=Prosthodontist
pullman / moscow,washington,https://pullman.craigslist.org,https://pullman.craigslist.org/search/jjj?query=Orthodontist,https://pullman.craigslist.org/search/jjj?query=Oral+Surgeon,https://pullman.craigslist.org/search/jjj?query=Periodontist,https://pullman.craigslist.org/search/jjj?query=Endodontist,https://pullman.craigslist.org/search/jjj?query=Pedodontist,https://pullman.craigslist.org/search/jjj?query=Dental+Specialist,https://pullman.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://pullman.craigslist.org/search/jjj?query=Prosthodontist
seattle-tacoma,washington,https://seattle.craigslist.org,https://seattle.craigslist.org/search/jjj?query=Orthodontist,https://seattle.craigslist.org/search/jjj?query=Oral+Surgeon,https://seattle.craigslist.org/search/jjj?query=Periodontist,https://seattle.craigslist.org/search/jjj?query=Endodontist,https://seattle.craigslist.org/search/jjj?query=Pedodontist,https://seattle.craigslist.org/search/jjj?query=Dental+Specialist,https://seattle.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://seattle.craigslist.org/search/jjj?query=Prosthodontist
skagit / island / SJI,washington,https://skagit.craigslist.org,https://skagit.craigslist.org/search/jjj?query=Orthodontist,https://skagit.craigslist.org/search/jjj?query=Oral+Surgeon,https://skagit.craigslist.org/search/jjj?query=Periodontist,https://skagit.craigslist.org/search/jjj?query=Endodontist,https://skagit.craigslist.org/search/jjj?query=Pedodontist,https://skagit.craigslist.org/search/jjj?query=Dental+Specialist,https://skagit.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://skagit.craigslist.org/search/jjj?query=Prosthodontist
spokane / coeur d'alene,washington,https://spokane.craigslist.org,https://spokane.craigslist.org/search/jjj?query=Orthodontist,https://spokane.craigslist.org/search/jjj?query=Oral+Surgeon,https://spokane.craigslist.org/search/jjj?query=Periodontist,https://spokane.craigslist.org/search/jjj?query=Endodontist,https://spokane.craigslist.org/search/jjj?query=Pedodontist,https://spokane.craigslist.org/search/jjj?query=Dental+Specialist,https://spokane.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://spokane.craigslist.org/search/jjj?query=Prosthodontist
wenatchee,washington,https://wenatchee.craigslist.org,https://wenatchee.craigslist.org/search/jjj?query=Orthodontist,https://wenatchee.craigslist.org/search/jjj?query=Oral+Surgeon,https://wenatchee.craigslist.org/search/jjj?query=Periodontist,https://wenatchee.craigslist.org/search/jjj?query=Endodontist,https://wenatchee.craigslist.org/search/jjj?query=Pedodontist,https://wenatchee.craigslist.org/search/jjj?query=Dental+Specialist,https://wenatchee.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://wenatchee.craigslist.org/search/jjj?query=Prosthodontist
